Timestamp,ABB00235_Load,ABB00232_Load,QNT_SIM,UT1E,UT2E,Site,ABC00548_Load,ABC00547_Load,ABC00546_Load,UT3E,ABC00575_Load,ABC00576_Load,ABC00574_Load,ABA00243_Load,ABA00133_Load,ABA00223_Load,ABA00247_Load,UT4E,ABB00233_Load,ABB00230_Load,ABB00234_Load,ABB00231_Load,ABB00239_Load,ABB00240_Load
2021-08-02,3.0,,1.0,29.2,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-03,17.0,,1.0,100.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-04,20.0,44.0,2.0,50.0,50.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-05,36.0,41.0,1.0,37.5,41.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-06,29.0,28.0,2.0,4.2,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-07,32.0,22.0,2.0,8.3,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-08,31.0,31.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-09,35.0,28.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-10,21.0,19.0,2.0,8.3,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-11,9.0,14.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-12,27.0,25.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-13,29.0,24.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-14,15.0,17.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-15,21.0,12.0,1.0,29.2,54.2,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-16,35.0,29.0,2.0,12.5,87.5,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-17,9.0,11.0,2.0,12.5,87.5,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-18,23.0,26.0,2.0,4.2,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-19,10.0,15.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-20,12.0,15.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-21,4.0,7.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-22,21.0,21.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-23,14.0,18.0,2.0,12.5,87.5,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-24,12.0,13.0,2.0,8.3,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-25,16.0,17.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-26,25.0,26.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-27,10.0,11.0,2.0,12.5,87.5,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-28,4.0,5.0,2.0,16.7,83.3,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-29,54.0,34.0,1.0,45.8,50.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-30,49.0,31.0,2.0,8.3,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-08-31,15.0,17.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-01,33.0,28.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-02,72.0,47.0,1.0,8.3,54.2,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-03,38.0,27.0,2.0,8.3,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-04,10.0,16.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-05,24.0,15.0,2.0,25.0,66.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-06,35.0,20.0,2.0,16.7,83.3,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-07,51.0,41.0,1.0,37.5,54.2,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-08,30.0,27.0,1.0,58.3,41.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-09,22.0,24.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-10,24.0,16.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-11,11.0,8.0,2.0,33.3,62.5,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-12,9.0,14.0,2.0,16.7,79.2,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-13,6.0,8.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-14,16.0,18.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-15,11.0,12.0,2.0,16.7,79.2,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-16,8.0,10.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-17,26.0,19.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-18,51.0,32.0,2.0,12.5,83.3,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-19,9.0,10.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-20,17.0,11.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-21,25.0,21.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-22,47.0,31.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-23,44.0,23.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-24,49.0,27.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-25,48.0,25.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-26,43.0,25.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-27,46.0,22.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-28,45.0,27.0,2.0,8.3,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-29,48.0,25.0,2.0,4.2,95.8,Florianopolis,,,,,,,,,,,,,,,,,,
2021-09-30,43.0,40.0,1.0,62.5,37.5,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-01,,6.0,0.0,4.2,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-02,27.0,18.0,0.0,12.5,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-03,48.0,33.0,2.0,12.5,83.3,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-04,33.0,22.0,2.0,4.2,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-05,35.0,24.0,2.0,20.8,79.2,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-06,17.0,17.0,2.0,8.3,83.3,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-07,100.0,99.0,1.0,4.2,25.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-08,,,0.0,0.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-09,,,0.0,0.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-10,,,0.0,0.0,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-11,,33.0,0.0,4.2,0.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-12,49.0,29.0,1.0,12.5,29.2,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-13,61.0,51.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-14,20.0,24.0,2.0,4.2,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-15,12.0,17.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-16,15.0,17.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-17,10.0,12.0,2.0,8.3,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-18,10.0,12.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-19,37.0,32.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-20,16.0,23.0,2.0,0.0,100.0,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-21,33.0,38.0,2.0,8.3,91.7,Florianopolis,,,,,,,,,,,,,,,,,,
2021-10-22,24.0,20.0,2.0,20.8,79.2,Florianopolis,,,,,,,,,,,,,,,,,,
